"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"func@0x2b5890","0.0400202","[Unknown]","func@0x2b5890","[Unknown]","0"
"H5D__chunk_is_space_alloc","0.0400178","[Unknown]","H5D__chunk_is_space_alloc","[Unknown]","0"
"H5S_close","0.0400169","[Unknown]","H5S_close","[Unknown]","0"
"H5SL_first","0.0400161","[Unknown]","H5SL_first","[Unknown]","0"
"rml::internal::MemoryPool::putToLLOCache","0.040016","[Unknown]","rml::internal::MemoryPool::putToLLOCache(rml::internal::TLSData*, void*)","[Unknown]","0"
"H5Sget_simple_extent_type","0.0400137","[Unknown]","H5Sget_simple_extent_type","[Unknown]","0"
"func@0x4e750","0.040013","[Unknown]","func@0x4e750","[Unknown]","0"
"func@0x50930","0.0400115","[Unknown]","func@0x50930","[Unknown]","0"
"func@0x293350","0.0400108","[Unknown]","func@0x293350","[Unknown]","0"
"func@0x28f950","0.0400106","[Unknown]","func@0x28f950","[Unknown]","0"
"H5S_copy","0.0400103","[Unknown]","H5S_copy","[Unknown]","0"
"kmp_free","0.0400081","[Unknown]","kmp_free","[Unknown]","0"
"nc4_hdf5_find_grp_var_att","0.0400081","[Unknown]","nc4_hdf5_find_grp_var_att","[Unknown]","0"
"H5P_access_class","0.0400047","[Unknown]","H5P_access_class","[Unknown]","0"
"func@0x98328","0.04","[Unknown]","func@0x98328","[Unknown]","0"
"__libc_read","0.04","[Unknown]","__libc_read","read.c","0"
"classbg","0.0399982","[Unknown]","classbg","CLASSBG.f","0"
"for_write_int_fmt_xmit","0.0305794","[Unknown]","for_write_int_fmt_xmit","[Unknown]","0"
"func@0x83bec","0.0300505","[Unknown]","func@0x83bec","[Unknown]","0"
"func@0xd573a","0.0300475","[Unknown]","func@0xd573a","[Unknown]","0"
"kmpc_free","0.0300366","[Unknown]","kmpc_free","[Unknown]","0"
"func@0x2b5760","0.0300201","[Unknown]","func@0x2b5760","[Unknown]","0"
"H5S_extent_get_dims","0.0300189","[Unknown]","H5S_extent_get_dims","[Unknown]","0"
"for_realloc_lhs","0.0300188","[Unknown]","for_realloc_lhs","[Unknown]","0"
"ncindexith","0.0300187","[Unknown]","ncindexith","[Unknown]","0"
"NC4_get_vars","0.0300153","[Unknown]","NC4_get_vars","[Unknown]","0"
"model_variables_group_reset","0.0300137","[Unknown]","model_variables_group_reset","model_variables.f90","0"
"func@0x83c34","0.030013","[Unknown]","func@0x83c34","[Unknown]","0"
"func@0xd5a36","0.0300124","[Unknown]","func@0xd5a36","[Unknown]","0"
"H5I_dec_app_ref","0.0300114","[Unknown]","H5I_dec_app_ref","[Unknown]","0"
"H5S_select_all","0.0300106","[Unknown]","H5S_select_all","[Unknown]","0"
"assign_field_to_mapped_value","0.0300094","[Unknown]","assign_field_to_mapped_value","field_utilities.f90","0"
"H5SL_create","0.0300094","[Unknown]","H5SL_create","[Unknown]","0"
"func@0x4fc10","0.0300085","[Unknown]","func@0x4fc10","[Unknown]","0"
"H5D__select_read","0.030007","[Unknown]","H5D__select_read","[Unknown]","0"
"NC4_get_vara","0.030007","[Unknown]","NC4_get_vara","[Unknown]","0"
"func@0x2a15a0","0.0300061","[Unknown]","func@0x2a15a0","[Unknown]","0"
"func@0x2a1680","0.0300054","[Unknown]","func@0x2a1680","[Unknown]","0"
"H5Sclose","0.0300053","[Unknown]","H5Sclose","[Unknown]","0"
"assign_field_1d_to_real1d","0.0300047","[Unknown]","assign_field_1d_to_real1d","field_utilities.f90","0"
"H5CX_set_tag","0.0300046","[Unknown]","H5CX_set_tag","[Unknown]","0"
"NC4_inq_var_all","0.0300044","[Unknown]","NC4_inq_var_all","[Unknown]","0"
"func@0xbf460","0.0300042","[Unknown]","func@0xbf460","[Unknown]","0"
"H5C_unprotect","0.03","[Unknown]","H5C_unprotect","[Unknown]","0"
"func@0x95e06","0.03","[Unknown]","func@0x95e06","[Unknown]","0"
"read_input_forcing_frame_from_file","0.0299988","[Unknown]","read_input_forcing_frame_from_file","input_forcing.f90","0"
"assign_field_scalar_to_real1d","0.0299975","[Unknown]","assign_field_scalar_to_real1d","field_utilities.f90","0"
"func@0x40c8d0","0.024919","[Unknown]","func@0x40c8d0","[Unknown]","0"
"func@0x292700","0.0210258","[Unknown]","func@0x292700","[Unknown]","0"
"func@0x83b60","0.0200247","[Unknown]","func@0x83b60","[Unknown]","0"
"func@0x501c0","0.0200182","[Unknown]","func@0x501c0","[Unknown]","0"
"H5Pclose","0.0200158","[Unknown]","H5Pclose","[Unknown]","0"
"H5AC_tag","0.020013","[Unknown]","H5AC_tag","[Unknown]","0"
"H5CX_get_tag","0.0200127","[Unknown]","H5CX_get_tag","[Unknown]","0"
"func@0x29f40c","0.0200118","[Unknown]","func@0x29f40c","[Unknown]","0"
"nc4_find_nc_grp_h5","0.020011","[Unknown]","nc4_find_nc_grp_h5","[Unknown]","0"
"iso_c_binding_mp_c_loc_private_","0.0200109","[Unknown]","iso_c_binding_mp_c_loc_private_","[Unknown]","0"
"func@0xc86f0","0.0200096","[Unknown]","func@0xc86f0","[Unknown]","0"
"func@0x29f390","0.0200094","[Unknown]","func@0x29f390","[Unknown]","0"
"nc4_find_grp_h5","0.0200092","[Unknown]","nc4_find_grp_h5","[Unknown]","0"
"netcdf_mp_nf90_get_var_2d_fourbytereal_","0.0200083","[Unknown]","netcdf_mp_nf90_get_var_2d_fourbytereal_","[Unknown]","0"
"run_within_tile","0.0200079","[Unknown]","run_within_tile","sa_mesh_run_within_tile.f90","0"
"func@0x2d850","0.0200072","[Unknown]","func@0x2d850","[Unknown]","0"
"H5S_has_extent","0.020007","[Unknown]","H5S_has_extent","[Unknown]","0"
"mountain_within_tile","0.0200068","[Unknown]","mountain_within_tile","mountain_module.f90","0"
"H5P_isa_class","0.0200064","[Unknown]","H5P_isa_class","[Unknown]","0"
"H5VM_memcpyvv","0.0200061","[Unknown]","H5VM_memcpyvv","[Unknown]","0"
"H5P_get","0.0200061","[Unknown]","H5P_get","[Unknown]","0"
"func@0xd6924","0.0200061","[Unknown]","func@0xd6924","[Unknown]","0"
"H5SL_free","0.0200059","[Unknown]","H5SL_free","[Unknown]","0"
"H5S_select_iter_release","0.0200054","[Unknown]","H5S_select_iter_release","[Unknown]","0"
"func@0x50370","0.020005","[Unknown]","func@0x50370","[Unknown]","0"
